ra,dec,hst-f814w,uvista-y,uvista-j,uvista-h,uvista-ks,irac-ch1,irac-ch2,nircam_f115w,nircam_f150w,nircam_f277w,nircam_f444w,zpdf_med,mass_med,ssfr_med,ML-class,SED-class,ML-class_prob
149.8237223,2.1258885,25.09340785,23.74527929,23.81229961,23.17886275,23.41553123,23.14742221,23.17442461,25.44294535,23.93467841,23.57427296,23.66011942,2.5164,9.5238,-8.35323,FALSE,FALSE,0.000105657
149.7362572,2.158274231,25.87950314,24.70565791,23.95667159,22.8170154,22.72795082,22.83603398,22.78088068,24.71936052,23.72356216,22.86327269,22.4930026,2.5005,10.12917,-8.28317,TRUE,FALSE,0.000119882
149.7990693,2.137929926,25.05974247,24.10797816,23.62402785,23.15319591,22.74519552,22.68606107,22.90799534,24.91888633,23.68812928,22.64295941,22.21360005,2.5044,10.35284,-8.8774,FALSE,FALSE,0.000170548
149.771205,2.159307792,27.80856496,24.48737176,23.98092998,23.24116046,22.85573797,22.16772726,21.9389111,25.34064104,24.02926494,22.41665907,21.7982206,2.5186,10.39804,-8.14538,TRUE,FALSE,0.021305057
149.7587169,2.174835429,27.47433328,25.78214959,24.91520896,23.89062336,23.38698666,22.55834174,22.20559553,27.2885892,26.33750137,23.40959126,22.13603809,2.5072,9.99424,-7.64936,FALSE,FALSE,0.945143886
149.8645869,2.137179347,27.2430962,25.23461214,24.14875965,22.47110917,21.92227745,21.478348,21.32701572,24.83831484,22.90068626,21.76229544,21.25849878,2.5164,10.90038,-10.60078,TRUE,TRUE,0.000114114
149.7862304,2.179248785,26.3839854,24.53552167,23.9767735,23.69567522,23.06426784,22.38808729,21.9864304,25.19517551,24.49488969,22.88363121,21.89134479,2.5052,9.90374,-7.34011,FALSE,FALSE,2.16E-05
149.8211726,2.17483027,26.75978895,24.72950416,23.69352255,23.16661591,22.67672579,22.15612621,21.93149618,25.28428767,23.95602655,22.39303064,21.81723218,2.5022,10.75917,-9.19578,TRUE,FALSE,0.001876546
149.8487308,2.25129956,28.09373398,25.54580498,25.21170889,24.26335423,23.65945131,22.51000659,22.09386977,27.8975071,26.09428524,23.2878103,21.95709265,2.5071,10.44234,-8.22539,FALSE,FALSE,0.000751926
149.8036633,2.27877828,27.20199881,25.74711075,24.55064714,23.99463599,23.19474642,22.40373811,22.04072898,25.38694976,24.66002802,22.84104374,21.92653554,2.5037,10.22261,-8.03209,FALSE,FALSE,3.61E-05
149.8156566,2.293683325,27.47999591,25.47845398,25.05171894,23.75204365,23.16676241,22.55973412,22.19237596,26.11467531,24.67216557,22.90396619,22.01598418,2.5002,10.70209,-9.19955,FALSE,FALSE,0.017291146
149.9650644,2.074240036,25.11189294,24.53455696,24.21966844,23.63006955,23.64904628,23.35860888,23.42735891,24.76050092,24.00674859,23.6678145,23.57302975,2.5225,9.62683,-8.6022,FALSE,FALSE,2.52E-07
149.9087738,2.105316614,28.28567553,26.0175113,25.31481851,24.59716593,23.92234493,23.49078797,22.96370194,27.2356954,25.73230879,23.64663798,22.5726767,2.5137,10.12607,-8.16539,FALSE,FALSE,0.000400418
149.9082419,2.139054961,25.50408839,23.5151085,23.57389307,23.13570781,22.9434436,22.3810973,22.27590753,24.79145025,23.72867419,22.79131,22.40652148,2.5023,10.13984,-8.46748,FALSE,FALSE,0.003066767
149.9696329,2.122333304,24.6754801,24.62877549,24.10953039,23.68157925,23.45505465,23.85565305,23.82993081,24.69990251,23.99999645,23.63767185,23.45712539,2.5195,9.57384,-8.35551,FALSE,FALSE,0.018307435
149.9998417,2.134975577,24.1266414,24.07004155,23.70664508,23.26760009,23.20793238,23.2241536,23.18890728,23.9842636,23.44983747,23.22815932,23.04758416,2.525,9.70079,-8.59853,FALSE,FALSE,0.775407203
150.0098744,2.181897764,26.40032205,25.05362107,23.78139951,22.92360111,22.33455973,21.60881123,21.30326831,25.07581933,23.62855964,21.86848364,21.16369074,2.5166,10.87143,-8.62182,TRUE,FALSE,0.000319214
149.9787922,2.200463941,25.65662827,24.47716124,24.24534079,23.69175899,23.5229488,22.65056868,22.64834479,24.91192299,24.27021107,23.32170624,22.6459546,2.5203,9.73804,-7.81994,FALSE,FALSE,0.000188537
149.93171,2.224435915,24.67130601,23.05678835,22.64353703,21.62014188,21.66955138,21.66691183,21.66445912,23.5916625,22.70287948,22.13359135,21.81946601,2.5099,10.09995,-7.59995,FALSE,FALSE,0.000135061
150.0142222,2.196386082,27.14220604,25.5501169,23.96019281,23.21866686,22.55068899,21.51825551,21.16710016,26.27211379,24.23186488,21.99334963,21.03505453,2.5161,11.10426,-8.90694,FALSE,FALSE,0.058561647
150.1195039,2.030064242,26.40798813,26.61425242,25.02655057,24.2367416,23.42739036,22.8915638,22.39925439,26.63613207,24.71227475,22.94653164,21.94460596,2.5067,10.40824,-8.33431,FALSE,FALSE,0.000633846
150.0522183,2.059375489,27.20635796,25.71092434,25.68859265,24.87201852,24.70899638,23.67909745,23.57268515,26.32234711,25.27357173,24.33743281,23.99540052,2.5114,9.72436,-9.014,FALSE,FALSE,0.000343431
150.0840163,2.051209601,25.58633149,25.10839378,24.50465637,23.95882885,23.86741993,23.46163456,23.38320399,25.05293422,24.42594793,23.82128299,23.59002149,2.5129,9.73379,-8.8517,FALSE,FALSE,0.024312866
150.1233766,2.082223964,27.64499633,24.81992062,24.32412862,23.7157921,23.42495076,23.51204764,23.22451343,25.87001489,24.62124117,23.31681136,22.7644027,2.5175,10.08369,-8.14825,TRUE,FALSE,0.065059167
150.0541803,2.111345404,25.26712653,23.74128738,23.32654101,22.94658493,22.44092596,22.08128571,21.96405009,24.47054301,23.71300165,22.46248027,21.88408529,2.5017,10.60047,-9.59981,FALSE,FALSE,0.311539033
